"CATEGORY","COUNTER","TRANSLATION","WORD"
"CZŁOWIEK","0","ARM","RĘKA"
"CZŁOWIEK","0","LEG","NOGA"
"CZŁOWIEK","0","HEAD","GŁOWA"
"CZŁOWIEK","104","HAIR","WŁOSY"
"CZŁOWIEK","0","EYES","OCZY"
"CZŁOWIEK","0","NOSE","NOS"
"CZŁOWIEK","0","LIPS","USTA"
"CZŁOWIEK","0","TEETH","ZĘBY"
"CZŁOWIEK","0","FOOT","STOPA"
"CZŁOWIEK","0","BACK","PLECY"
"CZŁOWIEK","1","STOMACH","BRZUCH"
"CZŁOWIEK","4","FINGER","PALEC"
"CZŁOWIEK","0","TOE","PALEC U STOPY"
"CZŁOWIEK","0","EARS","USZY"
"CZŁOWIEK","0","ARM","RAMIĘ"
"JEDZENIE","0","NOODLES","MAKARON"
"JEDZENIE","104","RICE","RYŻ"
"JEDZENIE","0","BREAKFAST","ŚNIADANIE"
"JEDZENIE","0","LUNCH","OBIAD"
"JEDZENIE","0","DINNER","KOLACJA"
"JEDZENIE","1","SNACK","PRZEKĄSKA"
"JEDZENIE","0","TOMATO","POMIDOR"
"JEDZENIE","5","POTATO","ZIEMNIAK"
"JEDZENIE","4","CUCUMBER","OGÓREK"
"JEDZENIE","0","STRAWBERRIES","TRUSKAWKI"
"JEDZENIE","0","TEE","HERBATA"
"JEDZENIE","0","BLUEBERRIES","JAGODY"
"JEDZENIE","0","RESTAURANT","RESTAURACJA"
"JEDZENIE","0","BAKERY","PIEKARNIA"
"JEDZENIE","1","CARROT","MARCHEW"
"JEDZENIE","0","ONION","CEBULA"
"JEDZENIE","0","CHEESE","SER"
"JEDZENIE","0","PORK","WIEPRZOWINA"
"JEDZENIE","0","BACON","BOCZEK"
"JEDZENIE","0","OAT FLAKES","PŁATKI OWSIANE"
"DOM","0","HOME","DOM"
"DOM","0","FLAT","MIESZKANIE"
"DOM","0","LIVING ROOM","SALON"
"DOM","0","BEDROOM","SYPIALNIA"
"DOM","1","BATHROOM","ŁAZIENKA"
"DOM","0","GARAGE","GARAŻ"
"DOM","0","GARDEN","OGRÓD"
"DOM","0","LAUNDRY","PRALNIA"
"DOM","0","SOFA","KANAPA"
"DOM","4","CHAIR","KRZESŁO"
"DOM","0","TABLE","STÓŁ"
"DOM","1","KITCHEN","KUCHNIA"
"DOM","1","BATH TUBE","WANNA"
"DOM","0","SHOWER","PRYSZNIC"
"DOM","0","SINK","ZLEW"
"DOM","0","FURNITURE","MEBLE"
"DOM","1","BALCONY","BALKON"
"DOM","0","WINDOW","OKNO"
"DOM","1","DOOR","DRZWI"
"DOM","0","CUP","KUBEK"
