"COUNTER","TRANSLATION","WORD"
"0","arm","ręka"
"0","leg","noga"
"0","head","głowa"
"0","hair","włosy"
"0","eyes","oczy"
"0","nose","nos"
"0","lips","usta"
"0","teeth","zęby"
"0","foot","stopa"
"0","back","plecy"
"0","stomach","brzuch"
"0","finger","palec"
"0","toe","talec u stopy"
"0","ears","uszy"
"0","arm","ramię"
"0","noodles","makaron"
"0","rice","ryż"
"0","breakfast","śniadanie"
"1","lunch","obiad"
"0","dinner","kolacja"
"0","snack","przekąska"
"0","tomato","pomidor"
"0","potato","ziemniak"
"0","cucumber","ogórek"
"0","strawberries","truskawki"
"0","tee","herbata"
"0","blueberries","jagody"
"0","restaurant","restauracja"
"0","bakery","piekarnia"
"0","carrot","marchew"
"0","onion","cebula"
"1","cheese","ser"
"0","pork","wieprzowina"
"0","bacon","boczek"
"0","oat flakes","płatki owsiane"
"0","home","dom"
"0","flat","mieszkanie"
"0","living room","salon"
"0","bedroom","sypialnia"
"0","bathroom","łazienka"
"0","garage","garaż"
"0","garden","ogród"
"0","laundry","pralnia"
"0","sofa","kanapa"
"0","chair","krzesło"
"0","table","stół"
"0","kitchen","kuchnia"
"0","bath tube","wanna"
"0","shower","prysznic"
"0","sink","zlew"
"0","furniture","meble"
"0","balcony","balkon"
"0","window","okno"
"0","door","drzwi"
"0","cup","kubek"
